Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Mon Nov 20 2017,Portland Trail Blazers,100,Memphis Grizzlies,92,V,Portland Trail Blazers,Memphis Grizzlies
Mon Nov 20 2017,Washington Wizards,99,Milwaukee Bucks,88,V,Washington Wizards,Milwaukee Bucks
Mon Nov 20 2017,Oklahoma City Thunder,107,New Orleans Pelicans,114,H,New Orleans Pelicans,Oklahoma City Thunder
Mon Nov 20 2017,Los Angeles Clippers,85,New York Knicks,107,H,New York Knicks,Los Angeles Clippers
Mon Nov 20 2017,Indiana Pacers,105,Orlando Magic,97,V,Indiana Pacers,Orlando Magic
Mon Nov 20 2017,Utah Jazz,86,Philadelphia 76ers,107,H,Philadelphia 76ers,Utah Jazz
Mon Nov 20 2017,Denver Nuggets,114,Sacramento Kings,98,V,Denver Nuggets,Sacramento Kings
Mon Nov 20 2017,Atlanta Hawks,85,San Antonio Spurs,96,H,San Antonio Spurs,Atlanta Hawks
Tue Nov 21 2017,Chicago Bulls,94,Los Angeles Lakers,103,H,Los Angeles Lakers,Chicago Bulls
Wed Nov 22 2017,Los Angeles Clippers,116,Atlanta Hawks,103,V,Los Angeles Clippers,Atlanta Hawks
Wed Nov 22 2017,Washington Wizards,124,Charlotte Hornets,129,H,Charlotte Hornets,Washington Wizards
Wed Nov 22 2017,Brooklyn Nets,109,Cleveland Cavaliers,119,H,Cleveland Cavaliers,Brooklyn Nets
Wed Nov 22 2017,Denver Nuggets,95,Houston Rockets,125,H,Houston Rockets,Denver Nuggets
Wed Nov 22 2017,Dallas Mavericks,95,Memphis Grizzlies,94,V,Dallas Mavericks,Memphis Grizzlies
Wed Nov 22 2017,Boston Celtics,98,Miami Heat,104,H,Miami Heat,Boston Celtics
Wed Nov 22 2017,Orlando Magic,118,Minnesota Timberwolves,124,H,Minnesota Timberwolves,Orlando Magic
Wed Nov 22 2017,San Antonio Spurs,90,New Orleans Pelicans,107,H,New Orleans Pelicans,San Antonio Spurs
Wed Nov 22 2017,Toronto Raptors,100,New York Knicks,108,H,New York Knicks,Toronto Raptors
Wed Nov 22 2017,Golden State Warriors,91,Oklahoma City Thunder,108,H,Oklahoma City Thunder,Golden State Warriors
Wed Nov 22 2017,Portland Trail Blazers,81,Philadelphia 76ers,101,H,Philadelphia 76ers,Portland Trail Blazers
Wed Nov 22 2017,Milwaukee Bucks,113,Phoenix Suns,107,V,Milwaukee Bucks,Phoenix Suns
Wed Nov 22 2017,Los Angeles Lakers,102,Sacramento Kings,113,H,Sacramento Kings,Los Angeles Lakers
Wed Nov 22 2017,Chicago Bulls,80,Utah Jazz,110,H,Utah Jazz,Chicago Bulls
Fri Nov 24 2017,New York Knicks,104,Atlanta Hawks,116,H,Atlanta Hawks,New York Knicks
Fri Nov 24 2017,Orlando Magic,103,Boston Celtics,118,H,Boston Celtics,Orlando Magic
Fri Nov 24 2017,Portland Trail Blazers,127,Brooklyn Nets,125,V,Portland Trail Blazers,Brooklyn Nets
Fri Nov 24 2017,Charlotte Hornets,99,Cleveland Cavaliers,100,H,Cleveland Cavaliers,Charlotte Hornets
Fri Nov 24 2017,Memphis Grizzlies,92,Denver Nuggets,104,H,Denver Nuggets,Memphis Grizzlies
Fri Nov 24 2017,Chicago Bulls,94,Golden State Warriors,143,H,Golden State Warriors,Chicago Bulls
Fri Nov 24 2017,Toronto Raptors,104,Indiana Pacers,107,H,Indiana Pacers,Toronto Raptors
Fri Nov 24 2017,Miami Heat,109,Minnesota Timberwolves,97,V,Miami Heat,Minnesota Timberwolves
Fri Nov 24 2017,Detroit Pistons,99,Oklahoma City Thunder,98,V,Detroit Pistons,Oklahoma City Thunder
Fri Nov 24 2017,New Orleans Pelicans,115,Phoenix Suns,91,V,New Orleans Pelicans,Phoenix Suns
Sat Nov 25 2017,Toronto Raptors,112,Atlanta Hawks,78,V,Toronto Raptors,Atlanta Hawks
Sat Nov 25 2017,San Antonio Spurs,106,Charlotte Hornets,86,V,San Antonio Spurs,Charlotte Hornets
Sat Nov 25 2017,Oklahoma City Thunder,81,Dallas Mavericks,97,H,Dallas Mavericks,Oklahoma City Thunder
Sat Nov 25 2017,New Orleans Pelicans,95,Golden State Warriors,110,H,Golden State Warriors,New Orleans Pelicans
Sat Nov 25 2017,New York Knicks,102,Houston Rockets,117,H,Houston Rockets,New York Knicks
Sat Nov 25 2017,Boston Celtics,108,Indiana Pacers,98,V,Boston Celtics,Indiana Pacers
Sat Nov 25 2017,Orlando Magic,111,Philadelphia 76ers,130,H,Philadelphia 76ers,Orlando Magic
Sat Nov 25 2017,Los Angeles Clippers,97,Sacramento Kings,95,V,Los Angeles Clippers,Sacramento Kings
Sat Nov 25 2017,Milwaukee Bucks,108,Utah Jazz,121,H,Utah Jazz,Milwaukee Bucks
Sat Nov 25 2017,Portland Trail Blazers,108,Washington Wizards,105,V,Portland Trail Blazers,Washington Wizards
Sun Nov 26 2017,Miami Heat,100,Chicago Bulls,93,V,Miami Heat,Chicago Bulls
Sun Nov 26 2017,Brooklyn Nets,98,Memphis Grizzlies,88,V,Brooklyn Nets,Memphis Grizzlies
Sun Nov 26 2017,Phoenix Suns,108,Minnesota Timberwolves,119,H,Minnesota Timberwolves,Phoenix Suns
Mon Nov 27 2017,Detroit Pistons,118,Boston Celtics,108,V,Detroit Pistons,Boston Celtics
Mon Nov 27 2017,Sacramento Kings,110,Golden State Warriors,106,V,Sacramento Kings,Golden State Warriors
Mon Nov 27 2017,Brooklyn Nets,103,Houston Rockets,117,H,Houston Rockets,Brooklyn Nets
Mon Nov 27 2017,Orlando Magic,109,Indiana Pacers,121,H,Indiana Pacers,Orlando Magic
Mon Nov 27 2017,Los Angeles Lakers,115,Los Angeles Clippers,120,H,Los Angeles Clippers,Los Angeles Lakers
Mon Nov 27 2017,Portland Trail Blazers,103,New York Knicks,91,V,Portland Trail Blazers,New York Knicks
Mon Nov 27 2017,Cleveland Cavaliers,113,Philadelphia 76ers,91,V,Cleveland Cavaliers,Philadelphia 76ers
Mon Nov 27 2017,Dallas Mavericks,108,San Antonio Spurs,115,H,San Antonio Spurs,Dallas Mavericks
Tue Nov 28 2017,Phoenix Suns,104,Chicago Bulls,99,V,Phoenix Suns,Chicago Bulls
Tue Nov 28 2017,Miami Heat,97,Cleveland Cavaliers,108,H,Cleveland Cavaliers,Miami Heat
Tue Nov 28 2017,Washington Wizards,92,Minnesota Timberwolves,89,V,Washington Wizards,Minnesota Timberwolves
Tue Nov 28 2017,Milwaukee Bucks,112,Sacramento Kings,87,V,Milwaukee Bucks,Sacramento Kings
Tue Nov 28 2017,Denver Nuggets,77,Utah Jazz,106,H,Utah Jazz,Denver Nuggets
Wed Nov 29 2017,Brooklyn Nets,109,Dallas Mavericks,104,V,Brooklyn Nets,Dallas Mavericks
Wed Nov 29 2017,Phoenix Suns,107,Detroit Pistons,131,H,Detroit Pistons,Phoenix Suns
Wed Nov 29 2017,Indiana Pacers,97,Houston Rockets,118,H,Houston Rockets,Indiana Pacers
Wed Nov 29 2017,Golden State Warriors,127,Los Angeles Lakers,123,V,Golden State Warriors,Los Angeles Lakers
Wed Nov 29 2017,Minnesota Timberwolves,120,New Orleans Pelicans,102,V,Minnesota Timberwolves,New Orleans Pelicans
Wed Nov 29 2017,Miami Heat,86,New York Knicks,115,H,New York Knicks,Miami Heat
Wed Nov 29 2017,Oklahoma City Thunder,108,Orlando Magic,121,H,Orlando Magic,Oklahoma City Thunder
Wed Nov 29 2017,Washington Wizards,113,Philadelphia 76ers,118,H,Philadelphia 76ers,Washington Wizards
Wed Nov 29 2017,Memphis Grizzlies,95,San Antonio Spurs,104,H,San Antonio Spurs,Memphis Grizzlies
Wed Nov 29 2017,Charlotte Hornets,113,Toronto Raptors,126,H,Toronto Raptors,Charlotte Hornets
Thu Nov 30 2017,Cleveland Cavaliers,121,Atlanta Hawks,114,V,Cleveland Cavaliers,Atlanta Hawks
Thu Nov 30 2017,Philadelphia 76ers,97,Boston Celtics,108,H,Boston Celtics,Philadelphia 76ers
Thu Nov 30 2017,Chicago Bulls,110,Denver Nuggets,111,H,Denver Nuggets,Chicago Bulls
Thu Nov 30 2017,Utah Jazz,126,Los Angeles Clippers,107,V,Utah Jazz,Los Angeles Clippers
Thu Nov 30 2017,Milwaukee Bucks,103,Portland Trail Blazers,91,V,Milwaukee Bucks,Portland Trail Blazers
Fri Dec 1 2017,Sacramento Kings,107,Chicago Bulls,106,V,Sacramento Kings,Chicago Bulls
Fri Dec 1 2017,San Antonio Spurs,95,Memphis Grizzlies,79,V,San Antonio Spurs,Memphis Grizzlies
Fri Dec 1 2017,Charlotte Hornets,100,Miami Heat,105,H,Miami Heat,Charlotte Hornets
Fri Dec 1 2017,Minnesota Timberwolves,107,Oklahoma City Thunder,111,H,Oklahoma City Thunder,Minnesota Timberwolves
Fri Dec 1 2017,Golden State Warriors,133,Orlando Magic,112,V,Golden State Warriors,Orlando Magic
Fri Dec 1 2017,Indiana Pacers,115,Toronto Raptors,120,H,Toronto Raptors,Indiana Pacers
Fri Dec 1 2017,New Orleans Pelicans,108,Utah Jazz,114,H,Utah Jazz,New Orleans Pelicans
Fri Dec 1 2017,Detroit Pistons,91,Washington Wizards,109,H,Washington Wizards,Detroit Pistons
Sat Dec 2 2017,Phoenix Suns,111,Boston Celtics,116,H,Boston Celtics,Phoenix Suns
Sat Dec 2 2017,Atlanta Hawks,114,Brooklyn Nets,102,V,Atlanta Hawks,Brooklyn Nets
Sat Dec 2 2017,Memphis Grizzlies,111,Cleveland Cavaliers,116,H,Cleveland Cavaliers,Memphis Grizzlies
Sat Dec 2 2017,Los Angeles Clippers,82,Dallas Mavericks,108,H,Dallas Mavericks,Los Angeles Clippers
Sat Dec 2 2017,Los Angeles Lakers,100,Denver Nuggets,115,H,Denver Nuggets,Los Angeles Lakers
Sat Dec 2 2017,Sacramento Kings,104,Milwaukee Bucks,109,H,Milwaukee Bucks,Sacramento Kings
Sat Dec 2 2017,Detroit Pistons,103,Philadelphia 76ers,108,H,Philadelphia 76ers,Detroit Pistons
Sat Dec 2 2017,New Orleans Pelicans,123,Portland Trail Blazers,116,V,New Orleans Pelicans,Portland Trail Blazers
Sun Dec 3 2017,Houston Rockets,118,Los Angeles Lakers,95,V,Houston Rockets,Los Angeles Lakers
Sun Dec 3 2017,Golden State Warriors,123,Miami Heat,95,V,Golden State Warriors,Miami Heat
Sun Dec 3 2017,Los Angeles Clippers,106,Minnesota Timberwolves,112,H,Minnesota Timberwolves,Los Angeles Clippers
Sun Dec 3 2017,Orlando Magic,105,New York Knicks,100,V,Orlando Magic,New York Knicks
Sun Dec 3 2017,San Antonio Spurs,87,Oklahoma City Thunder,90,H,Oklahoma City Thunder,San Antonio Spurs
Mon Dec 4 2017,Brooklyn Nets,110,Atlanta Hawks,90,V,Brooklyn Nets,Atlanta Hawks
Mon Dec 4 2017,Milwaukee Bucks,100,Boston Celtics,111,H,Boston Celtics,Milwaukee Bucks
Mon Dec 4 2017,Cleveland Cavaliers,113,Chicago Bulls,91,V,Cleveland Cavaliers,Chicago Bulls
Mon Dec 4 2017,Orlando Magic,94,Charlotte Hornets,104,H,Charlotte Hornets,Orlando Magic
Mon Dec 4 2017,Denver Nuggets,105,Dallas Mavericks,122,H,Dallas Mavericks,Denver Nuggets
Mon Dec 4 2017,New York Knicks,97,Indiana Pacers,115,H,Indiana Pacers,New York Knicks
Mon Dec 4 2017,Minnesota Timberwolves,92,Memphis Grizzlies,95,H,Memphis Grizzlies,Minnesota Timberwolves
Mon Dec 4 2017,Golden State Warriors,125,New Orleans Pelicans,115,V,Golden State Warriors,New Orleans Pelicans
Mon Dec 4 2017,Phoenix Suns,115,Philadelphia 76ers,101,V,Phoenix Suns,Philadelphia 76ers
Mon Dec 4 2017,Detroit Pistons,93,San Antonio Spurs,96,H,San Antonio Spurs,Detroit Pistons
Mon Dec 4 2017,Washington Wizards,69,Utah Jazz,116,H,Utah Jazz,Washington Wizards
Tue Dec 5 2017,Utah Jazz,94,Oklahoma City Thunder,100,H,Oklahoma City Thunder,Utah Jazz
Tue Dec 5 2017,Washington Wizards,106,Portland Trail Blazers,92,V,Washington Wizards,Portland Trail Blazers
Tue Dec 5 2017,Phoenix Suns,113,Toronto Raptors,126,H,Toronto Raptors,Phoenix Suns
Wed Dec 6 2017,Dallas Mavericks,90,Boston Celtics,97,H,Boston Celtics,Dallas Mavericks
Wed Dec 6 2017,Golden State Warriors,101,Charlotte Hornets,87,V,Golden State Warriors,Charlotte Hornets
Wed Dec 6 2017,Sacramento Kings,95,Cleveland Cavaliers,101,H,Cleveland Cavaliers,Sacramento Kings
Wed Dec 6 2017,Chicago Bulls,96,Indiana Pacers,98,H,Indiana Pacers,Chicago Bulls
Wed Dec 6 2017,Minnesota Timberwolves,113,Los Angeles Clippers,107,V,Minnesota Timberwolves,Los Angeles Clippers
Wed Dec 6 2017,Detroit Pistons,100,Milwaukee Bucks,104,H,Milwaukee Bucks,Detroit Pistons
Wed Dec 6 2017,Denver Nuggets,114,New Orleans Pelicans,123,H,New Orleans Pelicans,Denver Nuggets
Wed Dec 6 2017,Memphis Grizzlies,88,New York Knicks,99,H,New York Knicks,Memphis Grizzlies
Wed Dec 6 2017,Atlanta Hawks,106,Orlando Magic,110,H,Orlando Magic,Atlanta Hawks
Wed Dec 6 2017,Miami Heat,105,San Antonio Spurs,117,H,San Antonio Spurs,Miami Heat
Thu Dec 7 2017,Oklahoma City Thunder,95,Brooklyn Nets,100,H,Brooklyn Nets,Oklahoma City Thunder
Thu Dec 7 2017,Los Angeles Lakers,107,Philadelphia 76ers,104,V,Los Angeles Lakers,Philadelphia 76ers
Thu Dec 7 2017,Washington Wizards,109,Phoenix Suns,99,V,Washington Wizards,Phoenix Suns
Thu Dec 7 2017,Houston Rockets,112,Utah Jazz,101,V,Houston Rockets,Utah Jazz
Fri Dec 8 2017,Chicago Bulls,119,Charlotte Hornets,111,V,Chicago Bulls,Charlotte Hornets
Fri Dec 8 2017,Golden State Warriors,102,Detroit Pistons,98,V,Golden State Warriors,Detroit Pistons
Fri Dec 8 2017,Cleveland Cavaliers,102,Indiana Pacers,106,H,Indiana Pacers,Cleveland Cavaliers
Fri Dec 8 2017,Toronto Raptors,116,Memphis Grizzlies,107,V,Toronto Raptors,Memphis Grizzlies
Fri Dec 8 2017,Dallas Mavericks,102,Milwaukee Bucks,109,H,Milwaukee Bucks,Dallas Mavericks
Fri Dec 8 2017,Sacramento Kings,116,New Orleans Pelicans,109,V,Sacramento Kings,New Orleans Pelicans
Fri Dec 8 2017,Denver Nuggets,103,Orlando Magic,89,V,Denver Nuggets,Orlando Magic
Fri Dec 8 2017,Boston Celtics,102,San Antonio Spurs,105,H,San Antonio Spurs,Boston Celtics
Sat Dec 9 2017,Orlando Magic,110,Atlanta Hawks,117,H,Atlanta Hawks,Orlando Magic
Sat Dec 9 2017,Miami Heat,101,Brooklyn Nets,89,V,Miami Heat,Brooklyn Nets
Sat Dec 9 2017,New York Knicks,102,Chicago Bulls,104,H,Chicago Bulls,New York Knicks
Sat Dec 9 2017,Los Angeles Lakers,110,Charlotte Hornets,99,V,Los Angeles Lakers,Charlotte Hornets
Sat Dec 9 2017,Philadelphia 76ers,98,Cleveland Cavaliers,105,H,Cleveland Cavaliers,Philadelphia 76ers
Sat Dec 9 2017,Washington Wizards,112,Los Angeles Clippers,113,H,Los Angeles Clippers,Washington Wizards
Sat Dec 9 2017,Oklahoma City Thunder,102,Memphis Grizzlies,101,V,Oklahoma City Thunder,Memphis Grizzlies
Sat Dec 9 2017,Utah Jazz,100,Milwaukee Bucks,117,H,Milwaukee Bucks,Utah Jazz
Sat Dec 9 2017,San Antonio Spurs,104,Phoenix Suns,101,V,San Antonio Spurs,Phoenix Suns
Sat Dec 9 2017,Houston Rockets,124,Portland Trail Blazers,117,V,Houston Rockets,Portland Trail Blazers
Sun Dec 10 2017,Boston Celtics,91,Detroit Pistons,81,V,Boston Celtics,Detroit Pistons
Sun Dec 10 2017,Denver Nuggets,116,Indiana Pacers,126,H,Indiana Pacers,Denver Nuggets
Sun Dec 10 2017,Dallas Mavericks,92,Minnesota Timberwolves,97,H,Minnesota Timberwolves,Dallas Mavericks
Sun Dec 10 2017,Philadelphia 76ers,124,New Orleans Pelicans,131,H,New Orleans Pelicans,Philadelphia 76ers
Sun Dec 10 2017,Atlanta Hawks,107,New York Knicks,111,H,New York Knicks,Atlanta Hawks
Sun Dec 10 2017,Toronto Raptors,102,Sacramento Kings,87,V,Toronto Raptors,Sacramento Kings
Mon Dec 11 2017,Boston Celtics,85,Chicago Bulls,108,H,Chicago Bulls,Boston Celtics
Mon Dec 11 2017,Portland Trail Blazers,104,Golden State Warriors,111,H,Golden State Warriors,Portland Trail Blazers
Mon Dec 11 2017,New Orleans Pelicans,123,Houston Rockets,130,H,Houston Rockets,New Orleans Pelicans
Mon Dec 11 2017,Toronto Raptors,91,Los Angeles Clippers,96,H,Los Angeles Clippers,Toronto Raptors
Mon Dec 11 2017,Miami Heat,107,Memphis Grizzlies,82,V,Miami Heat,Memphis Grizzlies
Mon Dec 11 2017,Charlotte Hornets,116,Oklahoma City Thunder,103,V,Charlotte Hornets,Oklahoma City Thunder
Tue Dec 12 2017,Washington Wizards,98,Brooklyn Nets,103,H,Brooklyn Nets,Washington Wizards
Tue Dec 12 2017,Atlanta Hawks,114,Cleveland Cavaliers,123,H,Cleveland Cavaliers,Atlanta Hawks
Tue Dec 12 2017,San Antonio Spurs,89,Dallas Mavericks,95,H,Dallas Mavericks,San Antonio Spurs
Tue Dec 12 2017,Denver Nuggets,103,Detroit Pistons,84,V,Denver Nuggets,Detroit Pistons
Tue Dec 12 2017,Philadelphia 76ers,118,Minnesota Timberwolves,112,V,Philadelphia 76ers,Minnesota Timberwolves
Tue Dec 12 2017,Los Angeles Lakers,109,New York Knicks,113,H,New York Knicks,Los Angeles Lakers
Tue Dec 12 2017,Phoenix Suns,92,Sacramento Kings,99,H,Sacramento Kings,Phoenix Suns
Wed Dec 13 2017,Denver Nuggets,118,Boston Celtics,124,H,Boston Celtics,Denver Nuggets
Wed Dec 13 2017,Utah Jazz,100,Chicago Bulls,103,H,Chicago Bulls,Utah Jazz
Wed Dec 13 2017,Charlotte Hornets,96,Houston Rockets,108,H,Houston Rockets,Charlotte Hornets
Wed Dec 13 2017,Oklahoma City Thunder,100,Indiana Pacers,95,V,Oklahoma City Thunder,Indiana Pacers
Wed Dec 13 2017,Portland Trail Blazers,102,Miami Heat,95,V,Portland Trail Blazers,Miami Heat
Wed Dec 13 2017,Milwaukee Bucks,108,New Orleans Pelicans,115,H,New Orleans Pelicans,Milwaukee Bucks
Wed Dec 13 2017,Los Angeles Clippers,106,Orlando Magic,95,V,Los Angeles Clippers,Orlando Magic
Wed Dec 13 2017,Toronto Raptors,115,Phoenix Suns,109,V,Toronto Raptors,Phoenix Suns
Wed Dec 13 2017,Memphis Grizzlies,87,Washington Wizards,93,H,Washington Wizards,Memphis Grizzlies
Thu Dec 14 2017,Detroit Pistons,105,Atlanta Hawks,91,V,Detroit Pistons,Atlanta Hawks
Thu Dec 14 2017,New York Knicks,111,Brooklyn Nets,104,V,New York Knicks,Brooklyn Nets
Thu Dec 14 2017,Los Angeles Lakers,112,Cleveland Cavaliers,121,H,Cleveland Cavaliers,Los Angeles Lakers
Thu Dec 14 2017,Dallas Mavericks,97,Golden State Warriors,112,H,Golden State Warriors,Dallas Mavericks
Thu Dec 14 2017,Sacramento Kings,96,Minnesota Timberwolves,119,H,Minnesota Timberwolves,Sacramento Kings
Fri Dec 15 2017,Utah Jazz,107,Boston Celtics,95,V,Utah Jazz,Boston Celtics
Fri Dec 15 2017,Miami Heat,104,Charlotte Hornets,98,V,Miami Heat,Charlotte Hornets
Fri Dec 15 2017,New Orleans Pelicans,111,Denver Nuggets,117,H,Denver Nuggets,New Orleans Pelicans
Fri Dec 15 2017,San Antonio Spurs,109,Houston Rockets,124,H,Houston Rockets,San Antonio Spurs
Fri Dec 15 2017,Detroit Pistons,104,Indiana Pacers,98,V,Detroit Pistons,Indiana Pacers
Fri Dec 15 2017,Atlanta Hawks,94,Memphis Grizzlies,96,H,Memphis Grizzlies,Atlanta Hawks
Fri Dec 15 2017,Chicago Bulls,115,Milwaukee Bucks,109,V,Chicago Bulls,Milwaukee Bucks
Fri Dec 15 2017,Portland Trail Blazers,95,Orlando Magic,88,V,Portland Trail Blazers,Orlando Magic
Fri Dec 15 2017,Oklahoma City Thunder,119,Philadelphia 76ers,117,V,Oklahoma City Thunder,Philadelphia 76ers
Fri Dec 15 2017,Brooklyn Nets,87,Toronto Raptors,120,H,Toronto Raptors,Brooklyn Nets
Fri Dec 15 2017,Los Angeles Clippers,91,Washington Wizards,100,H,Washington Wizards,Los Angeles Clippers
Sat Dec 16 2017,Portland Trail Blazers,93,Charlotte Hornets,91,V,Portland Trail Blazers,Charlotte Hornets
Sat Dec 16 2017,Utah Jazz,100,Cleveland Cavaliers,109,H,Cleveland Cavaliers,Utah Jazz
Sat Dec 16 2017,Milwaukee Bucks,111,Houston Rockets,115,H,Houston Rockets,Milwaukee Bucks
Sat Dec 16 2017,Boston Celtics,102,Memphis Grizzlies,93,V,Boston Celtics,Memphis Grizzlies
Sat Dec 16 2017,Los Angeles Clippers,85,Miami Heat,90,H,Miami Heat,Los Angeles Clippers
Sat Dec 16 2017,Phoenix Suns,108,Minnesota Timberwolves,106,V,Phoenix Suns,Minnesota Timberwolves
Sat Dec 16 2017,Oklahoma City Thunder,96,New York Knicks,111,H,New York Knicks,Oklahoma City Thunder
Sat Dec 16 2017,Dallas Mavericks,96,San Antonio Spurs,98,H,San Antonio Spurs,Dallas Mavericks
Sun Dec 17 2017,Indiana Pacers,109,Brooklyn Nets,97,V,Indiana Pacers,Brooklyn Nets
Sun Dec 17 2017,Orlando Magic,110,Detroit Pistons,114,H,Detroit Pistons,Orlando Magic
Sun Dec 17 2017,Sacramento Kings,93,Toronto Raptors,108,H,Toronto Raptors,Sacramento Kings
Sun Dec 17 2017,Cleveland Cavaliers,106,Washington Wizards,99,V,Cleveland Cavaliers,Washington Wizards
Mon Dec 18 2017,Miami Heat,104,Atlanta Hawks,110,H,Atlanta Hawks,Miami Heat
Mon Dec 18 2017,Philadelphia 76ers,115,Chicago Bulls,117,H,Chicago Bulls,Philadelphia 76ers
Mon Dec 18 2017,New York Knicks,91,Charlotte Hornets,109,H,Charlotte Hornets,New York Knicks
Mon Dec 18 2017,Phoenix Suns,97,Dallas Mavericks,91,V,Phoenix Suns,Dallas Mavericks
Mon Dec 18 2017,Utah Jazz,99,Houston Rockets,120,H,Houston Rockets,Utah Jazz
Mon Dec 18 2017,Boston Celtics,112,Indiana Pacers,111,V,Boston Celtics,Indiana Pacers
Mon Dec 18 2017,Golden State Warriors,116,Los Angeles Lakers,114,V,Golden State Warriors,Los Angeles Lakers
Mon Dec 18 2017,Portland Trail Blazers,107,Minnesota Timberwolves,108,H,Minnesota Timberwolves,Portland Trail Blazers
Mon Dec 18 2017,Denver Nuggets,94,Oklahoma City Thunder,95,H,Oklahoma City Thunder,Denver Nuggets
Mon Dec 18 2017,Los Angeles Clippers,91,San Antonio Spurs,109,H,San Antonio Spurs,Los Angeles Clippers
Tue Dec 19 2017,Cleveland Cavaliers,116,Milwaukee Bucks,119,H,Milwaukee Bucks,Cleveland Cavaliers
Tue Dec 19 2017,Sacramento Kings,101,Philadelphia 76ers,95,V,Sacramento Kings,Philadelphia 76ers
Tue Dec 19 2017,New Orleans Pelicans,106,Washington Wizards,116,H,Washington Wizards,New Orleans Pelicans
Wed Dec 20 2017,Indiana Pacers,105,Atlanta Hawks,95,V,Indiana Pacers,Atlanta Hawks
Wed Dec 20 2017,Miami Heat,90,Boston Celtics,89,V,Miami Heat,Boston Celtics
Wed Dec 20 2017,Sacramento Kings,104,Brooklyn Nets,99,V,Sacramento Kings,Brooklyn Nets
Wed Dec 20 2017,Orlando Magic,94,Chicago Bulls,112,H,Chicago Bulls,Orlando Magic
Wed Dec 20 2017,Toronto Raptors,129,Charlotte Hornets,111,V,Toronto Raptors,Charlotte Hornets
Wed Dec 20 2017,Detroit Pistons,93,Dallas Mavericks,110,H,Dallas Mavericks,Detroit Pistons
Wed Dec 20 2017,Minnesota Timberwolves,112,Denver Nuggets,104,V,Minnesota Timberwolves,Denver Nuggets
Wed Dec 20 2017,Memphis Grizzlies,84,Golden State Warriors,97,H,Golden State Warriors,Memphis Grizzlies
Wed Dec 20 2017,Los Angeles Lakers,122,Houston Rockets,116,V,Los Angeles Lakers,Houston Rockets
Wed Dec 20 2017,Phoenix Suns,95,Los Angeles Clippers,108,H,Los Angeles Clippers,Phoenix Suns
Wed Dec 20 2017,Utah Jazz,79,Oklahoma City Thunder,107,H,Oklahoma City Thunder,Utah Jazz
Wed Dec 20 2017,San Antonio Spurs,93,Portland Trail Blazers,91,V,San Antonio Spurs,Portland Trail Blazers
Thu Dec 21 2017,Chicago Bulls,112,Cleveland Cavaliers,115,H,Cleveland Cavaliers,Chicago Bulls
Thu Dec 21 2017,Boston Celtics,93,New York Knicks,102,H,New York Knicks,Boston Celtics
Thu Dec 21 2017,Toronto Raptors,114,Philadelphia 76ers,109,V,Toronto Raptors,Philadelphia 76ers
Thu Dec 21 2017,Memphis Grizzlies,95,Phoenix Suns,97,H,Phoenix Suns,Memphis Grizzlies
Thu Dec 21 2017,San Antonio Spurs,89,Utah Jazz,100,H,Utah Jazz,San Antonio Spurs
Fri Dec 22 2017,Washington Wizards,84,Brooklyn Nets,119,H,Brooklyn Nets,Washington Wizards
Fri Dec 22 2017,New York Knicks,101,Detroit Pistons,104,H,Detroit Pistons,New York Knicks
Fri Dec 22 2017,Los Angeles Lakers,106,Golden State Warriors,113,H,Golden State Warriors,Los Angeles Lakers
Fri Dec 22 2017,Los Angeles Clippers,128,Houston Rockets,118,V,Los Angeles Clippers,Houston Rockets
Fri Dec 22 2017,Dallas Mavericks,101,Miami Heat,113,H,Miami Heat,Dallas Mavericks
Fri Dec 22 2017,Charlotte Hornets,104,Milwaukee Bucks,109,H,Milwaukee Bucks,Charlotte Hornets
Fri Dec 22 2017,Atlanta Hawks,117,Oklahoma City Thunder,120,H,Oklahoma City Thunder,Atlanta Hawks
Fri Dec 22 2017,New Orleans Pelicans,111,Orlando Magic,97,V,New Orleans Pelicans,Orlando Magic
Fri Dec 22 2017,Denver Nuggets,102,Portland Trail Blazers,85,V,Denver Nuggets,Portland Trail Blazers
Sat Dec 23 2017,Dallas Mavericks,107,Atlanta Hawks,112,H,Atlanta Hawks,Dallas Mavericks
Sat Dec 23 2017,Chicago Bulls,92,Boston Celtics,117,H,Boston Celtics,Chicago Bulls
Sat Dec 23 2017,Milwaukee Bucks,106,Charlotte Hornets,111,H,Charlotte Hornets,Milwaukee Bucks
Sat Dec 23 2017,Denver Nuggets,96,Golden State Warriors,81,V,Denver Nuggets,Golden State Warriors
Sat Dec 23 2017,Brooklyn Nets,119,Indiana Pacers,123,H,Indiana Pacers,Brooklyn Nets
Sat Dec 23 2017,Portland Trail Blazers,95,Los Angeles Lakers,92,V,Portland Trail Blazers,Los Angeles Lakers
Sat Dec 23 2017,Los Angeles Clippers,112,Memphis Grizzlies,115,H,Memphis Grizzlies,Los Angeles Clippers
Sat Dec 23 2017,New Orleans Pelicans,109,Miami Heat,94,V,New Orleans Pelicans,Miami Heat
Sat Dec 23 2017,Minnesota Timberwolves,115,Phoenix Suns,106,V,Minnesota Timberwolves,Phoenix Suns
Sat Dec 23 2017,San Antonio Spurs,108,Sacramento Kings,99,V,San Antonio Spurs,Sacramento Kings
