Date,Visitor/Neutral,PTS,Home/Neutral,PTS,WLoc,WTeam,LTeam
Wed Oct 25 2017,Denver Nuggets,93,Charlotte Hornets,110,H,Charlotte Hornets,Denver Nuggets
Wed Oct 25 2017,Memphis Grizzlies,94,Dallas Mavericks,103,H,Dallas Mavericks,Memphis Grizzlies
Wed Oct 25 2017,Minnesota Timberwolves,101,Detroit Pistons,122,H,Detroit Pistons,Minnesota Timberwolves
Wed Oct 25 2017,Toronto Raptors,112,Golden State Warriors,117,H,Golden State Warriors,Toronto Raptors
Wed Oct 25 2017,Washington Wizards,99,Los Angeles Lakers,102,H,Los Angeles Lakers,Washington Wizards
Wed Oct 25 2017,San Antonio Spurs,117,Miami Heat,100,V,San Antonio Spurs,Miami Heat
Wed Oct 25 2017,Indiana Pacers,96,Oklahoma City Thunder,114,H,Oklahoma City Thunder,Indiana Pacers
Wed Oct 25 2017,Houston Rockets,105,Philadelphia 76ers,104,V,Houston Rockets,Philadelphia 76ers
Wed Oct 25 2017,Utah Jazz,88,Phoenix Suns,97,H,Phoenix Suns,Utah Jazz
Thu Oct 26 2017,Atlanta Hawks,86,Chicago Bulls,91,H,Chicago Bulls,Atlanta Hawks
Thu Oct 26 2017,Dallas Mavericks,91,Memphis Grizzlies,96,H,Memphis Grizzlies,Dallas Mavericks
Thu Oct 26 2017,Boston Celtics,96,Milwaukee Bucks,89,V,Boston Celtics,Milwaukee Bucks
Thu Oct 26 2017,Los Angeles Clippers,104,Portland Trail Blazers,103,V,Los Angeles Clippers,Portland Trail Blazers
Thu Oct 26 2017,New Orleans Pelicans,114,Sacramento Kings,106,V,New Orleans Pelicans,Sacramento Kings
Fri Oct 27 2017,Denver Nuggets,105,Atlanta Hawks,100,V,Denver Nuggets,Atlanta Hawks
Fri Oct 27 2017,Houston Rockets,109,Charlotte Hornets,93,V,Houston Rockets,Charlotte Hornets
Fri Oct 27 2017,Washington Wizards,117,Golden State Warriors,120,H,Golden State Warriors,Washington Wizards
Fri Oct 27 2017,Toronto Raptors,101,Los Angeles Lakers,92,V,Toronto Raptors,Los Angeles Lakers
Fri Oct 27 2017,Oklahoma City Thunder,116,Minnesota Timberwolves,119,H,Minnesota Timberwolves,Oklahoma City Thunder
Fri Oct 27 2017,Brooklyn Nets,86,New York Knicks,107,H,New York Knicks,Brooklyn Nets
Fri Oct 27 2017,San Antonio Spurs,87,Orlando Magic,114,H,Orlando Magic,San Antonio Spurs
Sat Oct 28 2017,Oklahoma City Thunder,101,Chicago Bulls,69,V,Oklahoma City Thunder,Chicago Bulls
Sat Oct 28 2017,Philadelphia 76ers,112,Dallas Mavericks,110,V,Philadelphia 76ers,Dallas Mavericks
